
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     18:23:57  JUL 08, 2019 CP=      5.582

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     219    0.0081679480  -0.0516596116  -0.0741091136   0.0822770617   0.0576653244
     220    0.0071665446  -0.0714084897  -0.0845438626   0.0917104073   0.0680777909
     221    0.0286650658  -0.0598118123  -0.1346833680   0.1633484339   0.1094995633
     222    0.0213806108  -0.0570871080  -0.1357555288   0.1571361396   0.1049688325
     223   -0.0044627644  -0.0719531715  -0.0804363198   0.0759735555   0.0593866110
     224   -0.0016613414  -0.0576802432  -0.0716327890   0.0699714477   0.0510526981
     225    0.0083565385  -0.0358632192  -0.0732453696   0.0816019081   0.0562743161
     226    0.0190853073  -0.0187522330  -0.0636092091   0.0826945164   0.0566907768
     227    0.0276088940  -0.0092045884  -0.0501889526   0.0777978465   0.0594953421
     228    0.0374249175   0.0011368821  -0.0629973790   0.1004222965   0.0737098029
     229    0.0162089981   0.0073331748  -0.0643680052   0.0805770033   0.0608930647
     230    0.0090306753  -0.0008388678  -0.0661465603   0.0751772356   0.0561895800
     231    0.0096112912  -0.0068467166  -0.0738077387   0.0834190299   0.0616884009
     232    0.0028497277   0.0002086351  -0.0869215563   0.0897712840   0.0703102133
     233    0.0001306907  -0.0027362485  -0.0935533294   0.0936840200   0.0722894155
     234    0.0085521020  -0.0152132521  -0.1014450436   0.1099971455   0.0781665106
     235    0.0127971031  -0.0402389237  -0.0950240108   0.1078211139   0.0723473192
     236    0.0103881026  -0.0644410133  -0.0839524449   0.0943405476   0.0682634411
     237    0.0038241225  -0.0756700757  -0.0889960124   0.0928201349   0.0724288631
     238    0.0309353386  -0.0663133804  -0.1413780325   0.1723133711   0.1156022168
