
 PRINT EPEL NODAL SOLUTION PER NODE

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Academic Research                           
 00210476  VERSION=LINUX x64     13:49:14  JUL 05, 2019 CP=      1.180

                                                                               


 
  ***** POST1 NODAL ELASTIC STRAIN LISTING *****                               
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
    NODE       EPEL1          EPEL2          EPEL3          EPELINT        EPELEQV 
     226    0.0000227886   0.0000020385  -0.0000109615   0.0000337501   0.0000256640
     227    0.0000194806   0.0000020694  -0.0000116378   0.0000311185   0.0000235234
     228    0.0000148476   0.0000031774  -0.0000122354   0.0000270831   0.0000207734
     229    0.0000094821   0.0000049362  -0.0000136334   0.0000231154   0.0000189659
     230    0.0000068695   0.0000042311  -0.0000174568   0.0000243263   0.0000200895
     231    0.0000083276  -0.0000001918  -0.0000254901   0.0000338178   0.0000253282
     232    0.0000107955  -0.0000030957  -0.0000411925   0.0000519880   0.0000373860
     233    0.0000189838   0.0000004879  -0.0000771318   0.0000961156   0.0000791055
     234    0.0000591009   0.0000205570  -0.0001520292   0.0002111301   0.0001563292
     235    0.0000168085   0.0000149241  -0.0000031356   0.0000199441   0.0000170868
     236    0.0000240711   0.0000060603  -0.0000078522   0.0000319234   0.0000241327
     237    0.0000199454   0.0000032538  -0.0000082375   0.0000281829   0.0000216794
     238    0.0000217345   0.0000015601  -0.0000106817   0.0000324162   0.0000248010
     239    0.0000208864   0.0000009154  -0.0000119935   0.0000328800   0.0000250541
     240    0.0000184194   0.0000012595  -0.0000126251   0.0000310445   0.0000236478
     241    0.0000145515   0.0000027047  -0.0000132520   0.0000278035   0.0000214519
     242    0.0000096960   0.0000048280  -0.0000145312   0.0000242272   0.0000198628
     243    0.0000071392   0.0000046107  -0.0000176628   0.0000248020   0.0000205530
     244    0.0000089671   0.0000002239  -0.0000237842   0.0000327514   0.0000244829
     245    0.0000121458  -0.0000022738  -0.0000358760   0.0000480217   0.0000342666
     246    0.0000207490  -0.0000032473  -0.0000648152   0.0000855642   0.0000695221
     247    0.0000547337   0.0000130478  -0.0001300294   0.0001847631   0.0001361572
     248    0.0000325983   0.0000148726  -0.0000038724   0.0000364707   0.0000257026
     249    0.0000253781   0.0000033509  -0.0000050451   0.0000304232   0.0000235581
     250    0.0000133317   0.0000006628  -0.0000109921   0.0000243237   0.0000183003
     251    0.0000156365  -0.0000006972  -0.0000134923   0.0000291288   0.0000218683
     252    0.0000157177  -0.0000008945  -0.0000145530   0.0000302706   0.0000228129
     253    0.0000146217  -0.0000000579  -0.0000148335   0.0000294552   0.0000223775
     254    0.0000123439   0.0000018566  -0.0000151421   0.0000274860   0.0000211880
     255    0.0000088497   0.0000044852  -0.0000155627   0.0000244124   0.0000199682
     256    0.0000073232   0.0000046069  -0.0000165383   0.0000238615   0.0000198516
     257    0.0000099934   0.0000009334  -0.0000191247   0.0000291181   0.0000218374
     258    0.0000140673  -0.0000005930  -0.0000252180   0.0000392853   0.0000278154
     259    0.0000237003  -0.0000068318  -0.0000453248   0.0000690251   0.0000557385
     260    0.0000539173   0.0000029597  -0.0001004751   0.0001543923   0.0001122959
     261    0.0000844721   0.0000034264  -0.0000282790   0.0001127511   0.0000809223
     262    0.0000388517   0.0000004388  -0.0000224021   0.0000612539   0.0000478738
     263    0.0000034551  -0.0000054385  -0.0000269604   0.0000304155   0.0000271668
     264    0.0000042374  -0.0000072491  -0.0000305292   0.0000347666   0.0000300479
     265    0.0000054291  -0.0000079017  -0.0000319996   0.0000374288   0.0000317419
     266    0.0000065878  -0.0000071695  -0.0000313369   0.0000379247   0.0000318230
     267    0.0000068378  -0.0000055647  -0.0000283013   0.0000351391   0.0000298381
     268    0.0000060685  -0.0000032807  -0.0000227901   0.0000288586   0.0000255514
     269    0.0000055240  -0.0000006333  -0.0000158805   0.0000214045   0.0000202644
     270    0.0000077994   0.0000005034  -0.0000081833   0.0000159827   0.0000164847
     271    0.0000140769   0.0000026295  -0.0000011135   0.0000151904   0.0000192771
     272    0.0000294296   0.0000180721  -0.0000358302   0.0000652598   0.0000565630
     273    0.0000743043   0.0000276107  -0.0001034168   0.0001777211   0.0001300823
     274    0.0001679708  -0.0000087326  -0.0000921709   0.0002601417   0.0001789914
