        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         277      100.500       55.500        0.000  -2.94287067  -0.12097420   0.00000000
         278      100.500       65.500        0.000  -3.77803569  -0.16752717   0.00000000
         279      100.500       75.500        0.000  -4.65468594  -0.23252548   0.00000000
         280      100.500       85.500        0.000  -5.49134098  -0.27916335   0.00000000
         281      100.500       95.500        0.000  -6.19816087  -0.37075017   0.00000000
         282      100.500      105.500        0.000  -6.75146292  -0.36153997   0.00000000
         283      100.500      115.500        0.000  -7.08418446  -0.35448278   0.00000000
         284      100.500      125.500        0.000  -7.24431050  -0.39233121   0.00000000
         285      100.500      135.500        0.000  -7.20767583  -0.37947817   0.00000000
         286      100.500      145.500        0.000  -6.92513612  -0.33389693   0.00000000
         287      100.500      155.500        0.000  -6.51877922  -0.33404657   0.00000000
         288      100.500      165.500        0.000  -5.98086323  -0.30884841   0.00000000
         289      100.500      175.500        0.000  -5.24032564  -0.28265353   0.00000000
         290      100.500      185.500        0.000  -4.32557684  -0.24664135   0.00000000
         291      100.500      195.500        0.000  -3.43961156  -0.21084947   0.00000000
         292      100.500      205.500        0.000  -2.62397878  -0.20805500   0.00000000
         293      100.500      215.500        0.000  -1.90140666  -0.21013219   0.00000000
         294      100.500      225.500        0.000  -1.28839919  -0.12411841   0.00000000
         295      100.500      235.500        0.000  -0.83341300  -0.02534983   0.00000000
         296      100.500      245.500        0.000  -0.55711705   0.04379502   0.00000000
         297      100.500      255.500        0.000  -0.44677303   0.07052953   0.00000000
         298      110.500       -4.500        0.000  -0.27963675  -0.02838590   0.00000000
         299      110.500        5.500        0.000  -0.38121633  -0.02653515   0.00000000
         300      110.500       15.500        0.000  -0.62918765  -0.02959634   0.00000000
         301      110.500       25.500        0.000  -1.05466961   0.00282328   0.00000000
         302      110.500       35.500        0.000  -1.61332045  -0.00183953   0.00000000
         303      110.500       45.500        0.000  -2.29272467  -0.06152804   0.00000000
         304      110.500       55.500        0.000  -3.06937761  -0.13364052   0.00000000
         305      110.500       65.500        0.000  -3.93326356  -0.19366030   0.00000000
         306      110.500       75.500        0.000  -4.82150782  -0.25240043   0.00000000
         307      110.500       85.500        0.000  -5.63000920  -0.32155493   0.00000000
         308      110.500       95.500        0.000  -6.32364082  -0.41523106   0.00000000
         309      110.500      105.500        0.000  -6.77487242  -0.41138421   0.00000000
         310      110.500      115.500        0.000  -7.09283727  -0.40988234   0.00000000
         311      110.500      125.500        0.000  -7.23195966  -0.44902962   0.00000000
         312      110.500      135.500        0.000  -7.20265040  -0.43627448   0.00000000
         313      110.500      145.500        0.000  -7.05936759  -0.37156186   0.00000000
         314      110.500      155.500        0.000  -6.67811701  -0.37051527   0.00000000
         315      110.500      165.500        0.000  -6.11359320  -0.34888512   0.00000000
         316      110.500      175.500        0.000  -5.37005952  -0.33087128   0.00000000
         317      110.500      185.500        0.000  -4.48115754  -0.27926794   0.00000000
         318      110.500      195.500        0.000  -3.56362016  -0.24077517   0.00000000
         319      110.500      205.500        0.000  -2.71099892  -0.22162313   0.00000000
         320      110.500      215.500        0.000  -1.95682964  -0.20532497   0.00000000
         321      110.500      225.500        0.000  -1.36581909  -0.14932739   0.00000000
         322      110.500      235.500        0.000  -0.93859103  -0.01767457   0.00000000
         323      110.500      245.500        0.000  -0.62877481   0.05270630   0.00000000
         324      110.500      255.500        0.000  -0.51197402   0.07932634   0.00000000
         325      120.500       -4.500        0.000  -0.30871785  -0.04446933   0.00000000
         326      120.500        5.500        0.000  -0.40763984  -0.03845118   0.00000000
         327      120.500       15.500        0.000  -0.65646489  -0.02028312   0.00000000
         328      120.500       25.500        0.000  -1.04599313  -0.03843135   0.00000000
         329      120.500       35.500        0.000  -1.61700646  -0.00748956   0.00000000
         330      120.500       45.500        0.000  -2.29002933  -0.05549773   0.00000000
         331      120.500       55.500        0.000  -3.05765844  -0.13420210   0.00000000
         332      120.500       65.500        0.000  -3.90289815  -0.20938598   0.00000000
         333      120.500       75.500        0.000  -4.76113928  -0.27857205   0.00000000
         334      120.500       85.500        0.000  -5.52789615  -0.36856509   0.00000000
         335      120.500       95.500        0.000  -6.12003681  -0.41864289   0.00000000
         336      120.500      105.500        0.000  -6.56110885  -0.44303353   0.00000000
         337      120.500      115.500        0.000  -6.86619287  -0.46219788   0.00000000
         338      120.500      125.500        0.000  -7.01571143  -0.50248003   0.00000000
         339      120.500      135.500        0.000  -6.97478394  -0.52137181   0.00000000
         340      120.500      145.500        0.000  -6.79667273  -0.46202584   0.00000000
         341      120.500      155.500        0.000  -6.47595891  -0.37933992   0.00000000
         342      120.500      165.500        0.000  -5.92921545  -0.36611388   0.00000000
         343      120.500      175.500        0.000  -5.22442406  -0.33303907   0.00000000
         344      120.500      185.500        0.000  -4.37851275  -0.30106527   0.00000000
         345      120.500      195.500        0.000  -3.49949381  -0.26862212   0.00000000
         346      120.500      205.500        0.000  -2.66382711  -0.24636024   0.00000000
         347      120.500      215.500        0.000  -1.92684151  -0.21922492   0.00000000
         348      120.500      225.500        0.000  -1.32446609  -0.17485181   0.00000000
         349      120.500      235.500        0.000  -0.88863169  -0.03381411   0.00000000
         350      120.500      245.500        0.000  -0.61385025   0.05169206   0.00000000
         351      120.500      255.500        0.000  -0.50435452   0.07773599   0.00000000
         352      130.500       -4.500        0.000  -0.28943092  -0.04667497   0.00000000
